service
ARTIK Cloud
AT&T M2X
Accessory Channel
Adafruit
Airtable
Almond
Amazon Alexa
Amazon Alexa (US only)
Ambi Climate
Android Battery
Android Wear
AppZapp
Asana
Automatic Classic
Automatic Pro
Awair
Bang & Olufsen's BeoLink Gateway
Beeminder
Beseye
Best Buy
Bhome
BloomSky Weather
Box
Boxcar 2
Boxoh Package Tracking
Bttn
CONNECTED WATCH
Caleo
Caleo (Staging)
Camera widget
Chain
Cisco Spark
Code School
Cogitai
Concur
Craigslist
Cronologics
D-Link Connected Home Camera
D-Link Smart Sound Detector
D-Link Water Sensor
Daikin Online Controller
Dailymotion
Danalock
Danfoss ECL
Dash
Day One
Deezer
Delicious
Diigo
DocSend
Donation Manager RedCloudâ¢
ESPN
EVE For Tesla
EZVIZ
Electric Objects
Ello
Email Digest
Energenie Mi|Home
Envoy
Essence Alpha (Staging)
Essence Integration (Staging)
Feed
Feedly
Firebase
Fiverr
Flic
Flock
FollowUp.cc
Foobot
Forever Skipped
Foursquare
Futurehome
GE Appliances Cooking
GE Appliances Dishwasher
GE Appliances Dryer
GE Appliances Refrigerator
GE Appliances Washer
GE Appliances Window AC
Garageio
Genius
Genius Hub
Giphy
GitHub
Gogogate
Google Assistant
Google Contacts
Google Glass
Google Wifi
GreenIQ
GroupMe
Gumroad
HD PowerView QA (Staging)
HP Print
Harvest
Heatmiser
Hektor
HipChat
Hive Active Heatingâ¢
Hive Active Heatingâ¢ [beta]
Hive Active Lightâ¢ [beta]
Home Connect Oven
Home Connect Washer
Home Depot
Home8
HomeSeer
Homeboy
Homeboy (Staging)
Honeywell Lyric
Honeywell Single-zone Thermostat
Honeywell Total Connect Comfort
Honeywell evohome
Hunter Douglas PowerView
IBM Watson Workspace
IFTTT
IFTTT Developers
IMPLAY
IMPLAY^2
Inoreader
Instapaper
Instawell
Intel Wearable (Staging)
IntesisHome
Is It Christmas?
Ivideon
John Deere
Keenai
Kevo
Komfy Outlet
Komfy Outlet Dev
Komfy Switch with Camera Dev
Kyber calendars, todos & reminders
LG Dryer
LG Smartphone
LG Washer
LINE
LaMetric Time
Leeo
LightwaveRF Events
LightwaveRF Heating
LightwaveRF Lighting
Lockitron
Logitech POP
Lutron CasÃ©ta Wireless
Lynx Technology
MESH
MagicPairs
MailChimp
MailChimpDemo (Staging)
Maker
Medium
MeisterTask
Melissa
Messsageboard
MicroBot Push for Prota
Misfit
Mojio
Moni.ai
Musaic
Musixmatch
Muzik
Myfox HomeControl
NIBE Uplink
NPR
Narrative
Narro
Nefit Easy
Nest Protect
Netatmo Thermostat
Netatmo Weather Station
Neurio
NewsBlur
Nike+
Nimbus Note
Numerous (Staging)
ORBneXt
Oco Camera
Office 365 Calendar
Office 365 Contacts
Office 365 Mail
OneNote
Ooma
Oticon
PAVLOK
PAVLOK - Staging
Particle
Pebblebee
Phone Call
Photttoboard
Pinboard
Piper
Printhug
ProPublica
Product Hunt
Pruvan
Pryv
Pushalot
Pushover
Qapital
Qapital (Staging)
Qblinks Qmote
QualityTime
Quip
Rachio
RainMachine
Recon
Refinery29 (Staging)
RemoteLync
RescueTime
Roger
Roost Smart Battery
Ruler of the Realm
Salesforce
Samsung Air Purifier
Samsung Refrigerator
Samsung Robot Vacuum
Samsung Washer
Scout Alarm
Seagate Personal Cloud
Seeed
Semantics3
Sen.se Mother
Sensibo
Sharpr
ShopYourWay
Sina Weibo
Skydrop
Skydrop (Staging)
SkylinkNet
Skype (old)
Slice
Smappee
Somfy Protect
Sorenson
Space
Spotify
Square
Stack
Stack Lighting
Stack Lighting (Staging)
Star Wars Force Band by Sphero
Stockimo
Stocks
Strava
Stripe
Surfline
SurveyMonkey
TU Go
TdTs
TeamSnap
TeamSnap (Staging)
Telldus Live!
Tesco
The New York Times
The Washington Post (Staging)
ThermoPeanut
ThermoSmart
TiVo
Ticatag
Toodledo
Trello
Twitch
U.S. Independence Day
Uber Old
Ubi
Verizon Cloud
Vimeo
Vinli
Voyages-sncf
Voyages-sncf (Staging)
WallyHome
WallyHome (Staging)
Wattio GATE
Wattio POD
Wattio THERMIC
WeMo Air Purifier
WeMo Coffeemaker
WeMo Heater
WeMo Humidifier
WeMo Insight Switch
WeMo Maker
WeMo Slow Cooker
Weather
Weather Underground
Weebly
Whaller
Whirlpool Dryer
Whirlpool Refrigerator
Whirlpool Refrigerator (Staging)
Whirlpool Washer
Whistle
Wikipedia
Wink Relay
Wink: Aros
Wink: Egg Minder
Wink: Nimbus
Wink: Pivot Power Genius
Wink: Porkfolio
Wink: Shortcuts
Wink: Spotter
Wireless Tag
Wiser Smart
Wolfram Data Drop
Workflow
Worldwide Interactive Alarm
XY Findables
Yeelight
Yo
YouTube
Zubie
Zubie (Staging)
bitly
blink(1)
blink1new
dondeEsta Family
eBay
hugOne
iLabs
iOS Contacts
iOS Reading List
incubatorLabs
indoona
invoxia Triby IO
microBees
myStrom
openHAB
popSLATE
simplehuman
tadoÂº Air Conditioning
tttv
wonderworkshop_development (Staging)
woopla
